"AIQP" "AIQU" "QP1" "QP2" "QP3" "QP4" "QU1" "QU2" "QU3" "QU4"
"di" 3.23353293413174 4.57516339869281 4.20546244568591 4.09916064805778 4.3273937732524 3.66617538688283 4.47713463383435 3.90185036202735 4.69402447804176 4.41666666666667
"e" 5.71428571428571 5.14043455219926 2.40533829919305 2.57661526449346 3.09379283336597 2.81871775976419 2.95810681164055 3.66049879324216 3.585313174946 3.15
"la" 4.31137724550898 3.55060943296237 2.73122284295469 2.08861994924849 2.38887801057372 2.48710390567428 2.12663895107131 1.87047465808528 1.28149748020158 1.91666666666667
"che" 1.35158254918734 1.48383677795443 2.34326505276226 2.61565488971306 1.80144899158018 2.67133382461312 2.52638311480652 2.25261464199517 2.11663066954644 1.9
"il" 2.66894781864842 1.62515456633104 1.78460583488516 2.01054069880929 1.95809672997846 1.89756816507001 1.5350175887432 1.87047465808528 1.49748020158387 1.7
"un" 2.7715996578272 3.12665606783254 1.24146492861577 1.48350575834472 1.42941061288428 1.19749447310243 1.43907898944675 1.26709573612228 1.6702663786897 1.66666666666667
"è" 1.59110350727117 1.1305423070129 1.22594661700807 1.05406988092914 1.89935382807911 1.86072218128224 2.15861848417013 1.38777152051488 0.979121670266379 1.56666666666667
"non" 0.735671514114628 0.847906730259671 1.53631284916201 1.63966425922311 1.62522028588212 2.04495210022108 1.98273105212664 1.56878519710378 0.950323974082073 1.3
"in" 1.3857998289136 1.89012541953718 1.38112973308504 1.24926800702713 1.07695320148815 0.810611643330877 1.40709945634794 1.08608205953339 1.38228941684665 1.21666666666667
"a" 1.14627887082977 1.16587175410705 1.30353817504655 1.24926800702713 1.21401997258665 0.921149594694178 0.831467860569236 1.10619469026549 1.69906407487401 1.68333333333333
"per" 1.55688622754491 0.95389507154213 1.02420856610801 1.34686707007613 1.19443900528686 1.0132645541636 1.08730412535977 0.643604183427192 0.849532037437005 1.11666666666667
"l" 1.00940975192472 1.25419537184243 0.837988826815642 0.995510443099746 1.15527707068729 0.736919675755343 1.3271506236009 0.905068382944489 0.907127429805616 1.28333333333333
"una" 1.24893071000855 1.05988341282459 0.85350713842334 0.858871754831154 0.783238691991384 0.957995578481945 0.99136552606332 0.643604183427192 1.19510439164867 1.06666666666667
"della" 1.09495295124038 0.936230347995054 0.791433891992551 1.11262931875854 0.920305463089877 0.681650700073692 1.21522225775504 0.84473049074819 0.993520518358531 1.03333333333333
"si" 0.496150556030796 1.11287758346582 1.10180012414649 0.839351942221355 0.841981593890738 1.10537951363301 1.19923249120563 1.16653258246179 0.950323974082073 0.816666666666667
"le" 1.57399486740804 1.64281928987811 0.63625077591558 0.878391567440953 0.469943215194831 0.589535740604274 0.911416693316278 0.905068382944489 0.691144708423326 0.666666666666667
"del" 0.667236954662104 0.724253665430136 1.11731843575419 0.800312317001757 0.939886430389661 0.792188651436993 1.03933482571154 0.744167337087691 0.863930885529158 0.85
"i" 0.564585115483319 0.635930047694754 1.0552451893234 1.09310950614874 0.607009986293323 1.08695652173913 0.479692996482251 0.84473049074819 0.475161987041037 0.866666666666667
"ma" 0.650128314798973 0.741918388977213 0.465549348230912 0.527034940464572 0.841981593890738 0.921149594694178 0.623600895426927 0.724054706355591 0.662347012239021 0.416666666666667
"con" 0.889649272882806 0.512276982865218 0.63625077591558 0.722233066562561 0.665752888192677 0.571112748710391 0.59162136232811 0.603378921962993 0.532757379409647 0.783333333333333
"più" 0.547476475620188 0.600600600600601 0.450031036623215 0.468475502635175 0.685333855492461 0.847457627118644 0.511672529581068 0.563153660498793 0.5471562275018 0.55
"come" 0.786997433704021 0.565271153506448 0.294847920546245 0.214717938707788 0.332876444096338 0.460574797347089 0.783498560921011 0.422365245374095 0.748740100791937 0.366666666666667
"da" 0.222412318220701 0.317965023847377 0.48106765983861 0.546554753074371 0.528686117094184 0.405305821665438 0.431723696834026 0.603378921962993 0.705543556515479 0.733333333333333
"o" 0.0855431993156544 0.0883236177353824 0.884543761638734 0.858871754831154 0.450362247895046 0.51584377302874 0.463703229932843 0.442477876106195 0.503959683225342 0.283333333333333
"dell" 0.410607356715141 0.741918388977213 0.387957790192427 0.292797189146984 0.411200313295477 0.276344878408254 0.479692996482251 0.482703137570394 0.575953923686105 0.35
"dei" 0.256629597946963 0.388623918035683 0.574177529484792 0.663673628733164 0.274133542196985 0.478997789240973 0.479692996482251 0.422365245374095 0.302375809935205 0.366666666666667
"anche" 0.427715996578272 0.388623918035683 0.248292985723153 0.156158500878392 0.352457411396123 0.847457627118644 0.447713463383435 0.402252614641995 0.374370050395968 0.2
"al" 0.307955517536356 0.194311959017841 0.543140906269398 0.312317001756783 0.411200313295477 0.405305821665438 0.479692996482251 0.221238938053097 0.388768898488121 0.45
"sono" 0.222412318220701 0.35329447094153 0.63625077591558 0.448955690025376 0.293714509496769 0.51584377302874 0.303805564438759 0.362027353177796 0.201583873290137 0.45
"gli" 0.342172797262618 0.264970853206147 0.434512725015518 0.546554753074371 0.352457411396123 0.423728813559322 0.143907898944675 0.724054706355591 0.158387329013679 0.466666666666667
"ha" 0.290846877673225 0.35329447094153 0.496585971446307 0.331836814366582 0.391619345995692 0.405305821665438 0.335785097537576 0.402252614641995 0.259179265658747 0.416666666666667
"delle" 0.342172797262618 0.512276982865218 0.341402855369336 0.390396252195979 0.2545525748972 0.202652910832719 0.49568276303166 0.341914722445696 0.345572354211663 0.266666666666667
"nel" 0.427715996578272 0.370959194488606 0.325884543761639 0.273277376537185 0.274133542196985 0.423728813559322 0.255836264790534 0.362027353177796 0.388768898488121 0.35
"alla" 0.171086398631309 0.317965023847377 0.310366232153942 0.605114190903767 0.352457411396123 0.184229918938836 0.271826031339942 0.261464199517297 0.460763138948884 0.466666666666667
"questo" 0.290846877673225 0.600600600600601 0.294847920546245 0.273277376537185 0.332876444096338 0.405305821665438 0.287815797889351 0.241351568785197 0.287976961843053 0.216666666666667
"se" 0 0.035329447094153 0.279329608938547 0.331836814366582 0.352457411396123 0.552689756816507 0.447713463383435 0.241351568785197 0.446364290856731 0.466666666666667
"lo" 0.0342172797262618 0.0883236177353824 0.325884543761639 0.214717938707788 0.372038378695908 0.460574797347089 0.543652062679885 0.261464199517297 0.172786177105832 0.25
"loro" 0.273738237810094 0.3003003003003 0.37243947858473 0.468475502635175 0.0979048364989231 0.423728813559322 0.111928365845859 0.201126307320998 0.215982721382289 0.2
"cui" 0.171086398631309 0.35329447094153 0.279329608938547 0.214717938707788 0.215390640297631 0.0552689756816507 0.527662296130477 0.201126307320998 0.287976961843053 0.216666666666667
"ci" 0.290846877673225 0.35329447094153 0.248292985723153 0.156158500878392 0.176228705698061 0.313190862196021 0.175887432043492 0.362027353177796 0.302375809935205 0.183333333333333
"essere" 0.290846877673225 0.282635576753224 0.186219739292365 0.351356626976381 0.215390640297631 0.276344878408254 0.399744163735209 0.181013676588898 0.244780417566595 0.116666666666667
"d" 0.0171086398631309 0.0176647235470765 0.279329608938547 0.253757563927386 0.372038378695908 0.313190862196021 0.335785097537576 0.221238938053097 0.359971202303816 0.3
"ogni" 0.273738237810094 0.35329447094153 0.201738050900062 0.234237751317587 0.822400626590954 0.0368459837877671 0.159897665494084 0.080450522928399 0.0575953923686105 0.05
"nella" 0.171086398631309 0.229641406111994 0.232774674115456 0.0975990630489947 0.156647738398277 0.368459837877671 0.287815797889351 0.100563153660499 0.244780417566595 0.133333333333333
"solo" 0.39349871685201 0.247306129659071 0.10862818125388 0.0975990630489947 0.234971607597415 0.350036845983788 0.143907898944675 0.221238938053097 0.129589632829374 0.15
"mondo" 0.479041916167665 0.547606429959371 0.0931098696461825 0 0.215390640297631 0.221075902726603 0.271826031339942 0.0603378921962993 0 0.116666666666667
"sua" 0.18819503849444 0.105988341282459 0.139664804469274 0.195198126097989 0.430781280595261 0.25792188651437 0.287815797889351 0.0201126307320998 0.287976961843053 0.05
"hanno" 0.290846877673225 0.035329447094153 0.201738050900062 0.214717938707788 0.117485803798708 0.239498894620486 0.111928365845859 0.341914722445696 0.0719942404607631 0.3
"questa" 0.153977758768178 0.35329447094153 0.279329608938547 0.0195198126097989 0.117485803798708 0.239498894620486 0.207866965142309 0.080450522928399 0.143988480921526 0.133333333333333
